Folder,ImageID,Microns,Pixels,scale,,,,,,,,,,,,,pix/cm,cm,pix,um,um/px
Antisolvent,CB_1_1,1,392,0.002551020408,,,,,,,,,,,,6000_1.tif,134.0314136,4.68,627.2670157,1,0.001594217415
Antisolvent,CB_1_2,10,438,0.02283105023,,,,,,,,,,,,4000_IPA_2_4.tif,134.0314136,5.73,768,2,0.002604166667
Antisolvent,CB_1_3,5,439,0.01138952164,,,,,,,,,,,,4000_IPA_1_4.tif,134.0314136,6.04,809.5497382,2,0.002470509106
Antisolvent,CB_1_4,1,375,0.002666666667,,,,,,,,,,,,6000_IPA_2_1.tif,134.0314136,4.54,608.5026178,1,0.001643378304
Antisolvent,CB_1_5,1,392,0.002551020408,,,,,,,,,,,,4000_IPA_1_1.tif,134.0314136,5.82,780.0628272,1,0.001281948024
Antisolvent,CB_2_1,5,274,0.01824817518,,,,,,,,,,,,4000_2.tif,134.0314136,5.66,758.617801,5,0.006590934187
Antisolvent,CB_2_2,1,291,0.003436426117,,,,,,,,,,,,6000_IPA_2_3.tif,134.0314136,7.01,939.5602094,3,0.003192983238
Antisolvent,CB_2_3,0.5,285,0.001754385965,,,,,,,,,,,,6000_IPA_1_3.tif,134.0314136,6.34,849.7591623,2,0.002353608044
Antisolvent,CB_2_edge,5,405,0.01234567901,,,,,,,,,,,,4000_1.tif,134.0314136,,,,0.002665
Antisolvent,IPA_1_1,1,264,0.003787878788,,,,,,,,,,,,6000_IPA_1_1.tif,134.0314136,4.71,631.2879581,1,0.001584063163
Antisolvent,IPA_1_2,4,476,0.008403361345,,,,,,,,,,,,6000_IPA_2_2.tif,134.0314136,7.321,981.2439791,3,0.003057343601
Antisolvent,IPA_2_1,1,446,0.002242152466,,,,,,,,,,,,6000_IPA_2_4.tif,134.0314136,5.82,780.0628272,2,0.002563896048
Antisolvent,IPA_2_2,5,430,0.01162790698,,,,,,,,,,,,6000_3.tif,134.0314136,5.42,726.4502618,5,0.006882783672
Antisolvent,IPA_2_3,4,392,0.01020408163,,,,,,,,,,,,6000_IPA_1_2.tif,134.0314136,4.71,631.2879581,5,0.007920315817
Antisolvent,IPA_2_4,5,362,0.0138121547,,,,,,,,,,,,4000_3.tif,134.0314136,5.93,794.8062827,1,0.001258168212
Antisolvent,none_1_1,1,243,0.004115226337,,,,,,,,,,,,4000_IPA_2_2.tif,134.0314136,5.4,723.7696335,5,0.006908275463
Antisolvent,none_1_2,4,409,0.0097799511,,,,,,,,,,,,4000_IPA_1_2.tif,134.0314136,6.38,855.1204188,5,0.005847129702
Antisolvent,none_1_3,10,285,0.0350877193,,,,,,,,,,,,6000_2.tif,134.0314136,7.75,1038.743455,3,0.002888104839
Antisolvent,none_1_4,1,409,0.002444987775,,,,,,,,,,,,4000_IPA_1_3.tif,134.0314136,4.37,585.7172775,1,0.001707308352
Antisolvent,none_2_5,2,476,0.004201680672,,,,,,,,,,,,6000_4.tif,134.0314136,5.98,801.5078534,1,0.001247648411
Antisolvent,none_2_6,5,339,0.01474926254,,,,,,,,,,,,4000_IPA_2_1.tif,134.0314136,4.46,597.7801047,1,0.001672855942
Antisolvent,none_2_7,1,418,0.002392344498,,,,,,,,,,,,,,,0,,#DIV/0!
Antisolvent,none_2_8,5,304,0.01644736842,,,,,,,,,,,,,,,0,,#DIV/0!
Antisolvent,Tol_1_1,10,449,0.02227171492,,,,,,,,,,,,,134.0314136,7.9,1058.848168,2,0.001888844937
Antisolvent,Tol_1_2,10,430,0.02325581395,,,,,,,,,,,,,,,,,
Antisolvent,Tol_1_3,3,453,0.006622516556,,,,,,,,,,,,,,,,,
Antisolvent,Tol_1_4,1,446,0.002242152466,,,,,,,,,,,,,,,,,
Antisolvent,Tol_1_edge,4,456,0.008771929825,,,,,,,,,,,,,,,,,
Antisolvent,Tol_2_1,3,359,0.008356545961,,,,,,,,,,,,,,,,,
Antisolvent,Tol_2_2,3,359,0.008356545961,,,,,,,,,,,,,,,,,
Antisolvent,Tol_2_3,20,327,0.06116207951,,,,,,,,,,,,,,,,,
Antisolvent,Tol_2_4,10,252,0.03968253968,,,,,,,,,,,,,,,,,
Antisolvent,Tol_2_5,1,285,0.00350877193,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5DYN0,1,69,0.01449275362,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5DYN1,1,60,0.01666666667,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5DYN2,1,75,0.01333333333,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5DYN3,10,133,0.07518796992,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5DYN9,10,159,0.06289308176,,,,,,,,,,,,,,,,,
Composition,Ag2BiI56,1,69,0.01449275362,,,,,,,,,,,,,,,,,
Composition,Ag2BiI57,0.5,85,0.005882352941,,,,,,,,,,,,,,,,,
Composition,Ag2BiI58,4,93,0.04301075269,,,,,,,,,,,,,,,,,
Composition,Ag2BiI512,1,140,0.007142857143,,,,,,,,,,,,,,,,,
Composition,Ag2BiI513,2,81,0.02469135802,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5107_06_09,0.4,82,0.00487804878,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5107_06_10,0.4,82,0.00487804878,,,,,,,,,,,,,,,,,
Composition,Ag2BiI5107_06_11,1,140,0.007142857143,,,,,,,,,,,,,,,,,
Composition,Ag3BiI6st4,3,85,0.03529411765,,,,,,,,,,,,,,,,,
Composition,Ag3BiI6st5,2,101,0.0198019802,,,,,,,,,,,,,,,,,
Composition,Ag3BiI6st6,1,101,0.009900990099,,,,,,,,,,,,,,,,,
Composition,Ag3BiI6st7,2,88,0.02272727273,,,,,,,,,,,,,,,,,
Composition,Ag3BiI6st8,1,91,0.01098901099,,,,,,,,,,,,,,,,,
Composition,Ag3BiI6st9,0.5,86,0.005813953488,,,,,,,,,,,,,,,,,
Composition,AgBi4DYN3,1,73,0.01369863014,,,,,,,,,,,,,,,,,
Composition,AgBi4DYN4,1,129,0.007751937984,,,,,,,,,,,,,,,,,
Composition,AgBi4DYN5,0.4,84,0.004761904762,,,,,,,,,,,,,,,,,
Composition,AgBi4st0,0.4,82,0.00487804878,,,,,,,,,,,,,,,,,
Composition,AgBi4st1,0.3,91,0.003296703297,,,,,,,,,,,,,,,,,
Composition,AgBi4st2,2,71,0.02816901408,,,,,,,,,,,,,,,,,
Composition,AgBi4st9,1,82,0.01219512195,,,,,,,,,,,,,,,,,
Composition,AgBiI407,0.4,76,0.005263157895,,,,,,,,,,,,,,,,,
Composition,AgBiI408,1,82,0.01219512195,,,,,,,,,,,,,,,,,
Composition,AgBiI414,0.5,87,0.005747126437,,,,,,,,,,,,,,,,,
Temp 50-150,50C1,1,93,0.01075268817,,,,,,,,,,,,,,,,,
Temp 50-150,50C2,0.5,83,0.006024096386,,,,,,,,,,,,,,,,,
Temp 50-150,60C3,2,88,0.02272727273,,,,,,,,,,,,,,,,,
Temp 50-150,60C4,1,101,0.009900990099,,,,,,,,,,,,,,,,,
Temp 50-150,70C0,0.5,84,0.005952380952,,,,,,,,,,,,,,,,,
Temp 50-150,70C1,1,65,0.01538461538,,,,,,,,,,,,,,,,,
Temp 50-150,70C2,3,96,0.03125,,,,,,,,,,,,,,,,,
Temp 50-150,80C7,1,110,0.009090909091,,,,,,,,,,,,,,,,,
Temp 50-150,80C8,2,96,0.02083333333,,,,,,,,,,,,,,,,,
Temp 50-150,90C0,2,72,0.02777777778,,,,,,,,,,,,,,,,,
Temp 50-150,90C9,1,93,0.01075268817,,,,,,,,,,,,,,,,,
Temp 50-150,10)C5,1,59,0.01694915254,,,,,,,,,,,,,,,,,
Temp 50-150,100C6,2,78,0.02564102564,,,,,,,,,,,,,,,,,
Temp 50-150,110C3,1,105,0.009523809524,,,,,,,,,,,,,,,,,
Temp 50-150,110C4,1,57,0.01754385965,,,,,,,,,,,,,,,,,
Temp 50-150,110C5,2,81,0.02469135802,,,,,,,,,,,,,,,,,
Temp 50-150,120C6,2,108,0.01851851852,,,,,,,,,,,,,,,,,
Temp 50-150,120C7,1,119,0.008403361345,,,,,,,,,,,,,,,,,
Temp 50-150,130C1,1,67,0.01492537313,,,,,,,,,,,,,,,,,
Temp 50-150,130C2,2,84,0.02380952381,,,,,,,,,,,,,,,,,
Temp 50-150,140C0,2,90,0.02222222222,,,,,,,,,,,,,,,,,
Temp 50-150,140C9,1,71,0.01408450704,,,,,,,,,,,,,,,,,
Temp 50-150,150c1,1,103,0.009708737864,,,,,,,,,,,,,,,,,
Temp 50-150,150c2,2,86,0.02325581395,,,,,,,,,,,,,,,,,
Temp 50-150,150c3,1,122,0.008196721311,,,,,,,,,,,,,,,,,
Temp 50-150,150c4,1,91,0.01098901099,,,,,,,,,,,,,,,,,
Temp 50-150,150CSPILL8,4,78,0.05128205128,,,,,,,,,,,,,,,,,
Temp 100-150,100_1_1,1,112,0.008928571429,,,,,,,,,,,,,,,,,
Temp 100-150,100_1_2,2,453,0.004415011038,,,,,,,,,,,,,,,,,
Temp 100-150,100_1_3,5,359,0.0139275766,,,,,,,,,,,,,,,,,
Temp 100-150,100_1_4,1,398,0.002512562814,,,,,,,,,,,,,,,,,
Temp 100-150,100_2_1,2,425,0.004705882353,,,,,,,,,,,,,,,,,
Temp 100-150,100_2_2,5,308,0.01623376623,,,,,,,,,,,,,,,,,
Temp 100-150,100_2_3,1,453,0.002207505519,,,,,,,,,,,,,,,,,
Temp 100-150,110_1_1,1,276,0.003623188406,,,,,,,,,,,,,,,,,
Temp 100-150,110_1_2,3,380,0.007894736842,,,,,,,,,,,,,,,,,
Temp 100-150,110_1_3,10,309,0.03236245955,,,,,,,,,,,,,,,,,
Temp 100-150,110_1_4,0.5,131,0.003816793893,,,,,,,,,,,,,,,,,
Temp 100-150,110_2_1,1,163,0.006134969325,,,,,,,,,,,,,,,,,
Temp 100-150,110_2_2,5,196,0.02551020408,,,,,,,,,,,,,,,,,
Temp 100-150,110_2_3,0.5,178,0.002808988764,,,,,,,,,,,,,,,,,
Temp 100-150,120_1_1,1,390,0.002564102564,,,,,,,,,,,,,,,,,
Temp 100-150,120_1_2,4,445,0.008988764045,,,,,,,,,,,,,,,,,
Temp 100-150,120_1_3,0.5,301,0.001661129568,,,,,,,,,,,,,,,,,
Temp 100-150,120_1_5,2,350,0.005714285714,,,,,,,,,,,,,,,,,
Temp 100-150,120_1_6,5,402,0.01243781095,,,,,,,,,,,,,,,,,
Temp 100-150,120_1_7,1,282,0.003546099291,,,,,,,,,,,,,,,,,
Temp 100-150,120_2_1,0.5,301,0.001661129568,,,,,,,,,,,,,,,,,
Temp 100-150,130_1_1,2,335,0.005970149254,,,,,,,,,,,,,,,,,
Temp 100-150,130_1_2,0.5,228,0.002192982456,,,,,,,,,,,,,,,,,
Temp 100-150,130_1_3,4,464,0.008620689655,,,,,,,,,,,,,,,,,
Temp 100-150,130_1_4,3,380,0.007894736842,,,,,,,,,,,,,,,,,
Temp 100-150,130_2_1,1,258,0.003875968992,,,,,,,,,,,,,,,,,
Temp 100-150,130_2_2,0.5,350,0.001428571429,,,,,,,,,,,,,,,,,
Temp 100-150,130_2_3,3,472,0.006355932203,,,,,,,,,,,,,,,,,
Temp 100-150,130_2_4,5,271,0.0184501845,,,,,,,,,,,,,,,,,
Temp 100-150,130_2_5,3,414,0.007246376812,,,,,,,,,,,,,,,,,
Temp 100-150,140_1_1,3,397,0.007556675063,,,,,,,,,,,,,,,,,
Temp 100-150,140_1_2,2,408,0.004901960784,,,,,,,,,,,,,,,,,
Temp 100-150,140_1_3,0.5,314,0.001592356688,,,,,,,,,,,,,,,,,
Temp 100-150,140_1_4,1,321,0.003115264798,,,,,,,,,,,,,,,,,
Temp 100-150,140_1_5,0.5,276,0.001811594203,,,,,,,,,,,,,,,,,
Temp 100-150,140_2_1,3,388,0.007731958763,,,,,,,,,,,,,,,,,
Temp 100-150,140_2_2,10,393,0.02544529262,,,,,,,,,,,,,,,,,
Temp 100-150,140_2_3,1,445,0.002247191011,,,,,,,,,,,,,,,,,
Temp 100-150,140_2_4,3,363,0.00826446281,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_1,2,408,0.004901960784,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_2,2,408,0.004901960784,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_3,1,374,0.002673796791,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_4,5,467,0.01070663812,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_5,5,467,0.01070663812,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_6,2,319,0.006269592476,,,,,,,,,,,,,,,,,
Temp 100-150,150_1_7,2,319,0.006269592476,,,,,,,,,,,,,,,,,
Temp 100-150,150_2_1,5,464,0.01077586207,,,,,,,,,,,,,,,,,
Temp 100-150,150_2_2,2,333,0.006006006006,,,,,,,,,,,,,,,,,
Temp 100-150,150_2_3,5,464,0.01077586207,,,,,,,,,,,,,,,,,
Temp 100-150,150_2_4,1,240,0.004166666667,,,,,,,,,,,,,,,,,
