Image Name,Spincoating Speed,Substrates preheated temperature,Solution preheated temperature,Composition,Antisolvent Used
Temp 100-150_130_2_4.tif,"1000rpm 2s, 6000rpm 30s",130,130,AgBiI4,none used
Temp 100-150_110_2_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Temp 100-150_150_1_6.tif,"1000rpm 2s, 6000rpm 30s",150,150,AgBiI4,none used
Temp 100-150_100_2_1.tif,"1000rpm 2s, 6000rpm 30s",100,100,AgBiI4,none used
Temp 100-150_140_1_4.tif,"1000rpm 2s, 6000rpm 30s",140,140,AgBiI4,none used
Temp 100-150_150_1_5.tif,"1000rpm 2s, 6000rpm 30s",150,150,AgBiI4,none used
Temp 100-150_120_2_1.tif,"1000rpm 2s, 6000rpm 30s",120,120,AgBiI4,none used
Temp 100-150_120_1_6.tif,"1000rpm 2s, 6000rpm 30s",120,120,AgBiI4,none used
Temp 100-150_150_1_1.tif,"1000rpm 2s, 6000rpm 30s",150,150,AgBiI4,none used
Temp 100-150_120_1_5.tif,"1000rpm 2s, 6000rpm 30s",120,120,AgBiI4,none used
Temp 100-150_150_2_4.tif,"1000rpm 2s, 6000rpm 30s",150,150,AgBiI4,none used
Temp 100-150_130_1_4.tif,"1000rpm 2s, 6000rpm 30s",130,130,AgBiI4,none used
Temp 100-150_120_1_3.tif,"1000rpm 2s, 6000rpm 30s",120,120,AgBiI4,none used
Temp 100-150_140_2_1.tif,"1000rpm 2s, 6000rpm 30s",140,140,AgBiI4,none used
Temp 100-150_140_2_2.tif,"1000rpm 2s, 6000rpm 30s",140,140,AgBiI4,none used
Temp 100-150_100_2_3.tif,"1000rpm 2s, 6000rpm 30s",100,100,AgBiI4,none used
Temp 100-150_140_2_3.tif,"1000rpm 2s, 6000rpm 30s",140,140,AgBiI4,none used
Temp 100-150_100_1_1.tif,"1000rpm 2s, 6000rpm 30s",100,100,AgBiI4,none used
Temp 100-150_140_2_4.tif,"1000rpm 2s, 6000rpm 30s",140,140,AgBiI4,none used
Temp 100-150_110_1_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
